event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2020-02-01 00:09:00 UTC,view,5845581,1.93717E+18,,lovely,7.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2020-02-01 00:09:08 UTC,view,5769717,1.48758E+18,,,14.13,554962001,eb8923d0-51bf-4d9a-8477-1435e3bb0d08
2020-02-01 00:09:13 UTC,cart,5864107,1.48758E+18,,bluesky,2.38,608822992,d6e7f8a4-fa29-4dd7-8920-49394b58c764
2020-02-01 00:09:14 UTC,view,5839066,1.93717E+18,,lovely,7.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2020-02-01 00:09:17 UTC,view,5837152,1.784E+18,,pnb,8.73,565945720,74dfd4e5-eb91-4443-bbc6-ac8f73d3ad99
2020-02-01 00:09:18 UTC,view,5892179,1.48758E+18,,,18.89,579927966,46140b11-fc78-4a3e-bce5-caec0a991bd3
2020-02-01 00:09:21 UTC,view,5858188,1.48758E+18,,,4.76,608823365,c75a65ff-a71b-48f3-ab42-1f86e62970ce
2020-02-01 00:09:35 UTC,view,5688840,1.48758E+18,,,86.51,565324284,15579fc5-a9c4-40ef-8154-98fad110153c
2020-02-01 00:09:38 UTC,view,5768981,1.48758E+18,,irisk,82.54,567772288,845a2997-bcb8-4351-8aaa-4348c96475c4
2020-02-01 00:09:39 UTC,view,5844300,1.48758E+18,,,16.67,579927966,46140b11-fc78-4a3e-bce5-caec0a991bd3
2020-02-01 00:09:40 UTC,view,5838086,1.48758E+18,,levrana,6.35,554962001,eb8923d0-51bf-4d9a-8477-1435e3bb0d08
2020-02-01 00:09:40 UTC,view,5845593,1.93717E+18,,lovely,7.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2020-02-01 00:09:45 UTC,view,5739989,1.784E+18,,,3.49,538910603,2deb7ae5-52f1-4f71-abc4-1f9384cdea42
2020-02-01 00:10:08 UTC,view,5909810,1.48758E+18,,,18.73,579927966,46140b11-fc78-4a3e-bce5-caec0a991bd3
2020-02-01 00:10:08 UTC,view,5818479,1.48758E+18,,,3,538910603,2deb7ae5-52f1-4f71-abc4-1f9384cdea42
2020-02-01 00:10:10 UTC,view,5654991,1.48758E+18,,godefroy,6.16,605256911,39febaf3-a64b-4b1a-993c-ddd3d9f63f2b
2020-02-01 00:10:15 UTC,view,5868795,1.784E+18,,cosmoprofi,6.35,565945720,74dfd4e5-eb91-4443-bbc6-ac8f73d3ad99
2020-02-01 00:10:24 UTC,view,5836514,2.15119E+18,,nagaraku,1.59,608823514,61656e02-4aae-41a4-b16d-3feb71e9a09e
2020-02-01 00:10:30 UTC,view,5839280,1.93717E+18,,lovely,7.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2020-02-01 00:10:39 UTC,view,5845615,1.93717E+18,,lovely,7.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2020-02-01 00:10:48 UTC,cart,5869084,1.48758E+18,,oniq,7.62,573521387,f19687c4-c4ec-45ac-b23b-bc2e47ca75d5
2020-02-01 00:10:52 UTC,cart,5868795,1.784E+18,,cosmoprofi,6.35,565945720,74dfd4e5-eb91-4443-bbc6-ac8f73d3ad99
2020-02-01 00:11:03 UTC,view,5866562,1.784E+18,,,4.44,565945720,74dfd4e5-eb91-4443-bbc6-ac8f73d3ad99
2020-02-01 00:11:08 UTC,view,5839232,1.93717E+18,,lovely,7.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2020-02-01 00:11:29 UTC,view,5755875,2.15119E+18,,,10.32,588406471,9480a801-d467-488b-8368-03cd5423312c
2020-02-01 00:11:30 UTC,view,39956,1.48758E+18,,,2.86,558637512,f16a8f39-671a-4a83-a7fa-fc69148afe6d
2020-02-01 00:11:44 UTC,view,5869086,1.48758E+18,,oniq,7.62,573521387,f19687c4-c4ec-45ac-b23b-bc2e47ca75d5
2020-02-01 00:12:03 UTC,view,5842669,1.48758E+18,,,14.51,608823701,6534d827-2696-43ad-b07f-f0de1a978f43
2020-02-01 00:12:06 UTC,cart,5615144,1.48758E+18,,,4.76,608822992,d6e7f8a4-fa29-4dd7-8920-49394b58c764
2020-02-01 00:12:09 UTC,view,5885631,1.784E+18,,,15.48,565945720,74dfd4e5-eb91-4443-bbc6-ac8f73d3ad99
2020-02-01 00:12:16 UTC,view,5885630,1.784E+18,,,31.35,565945720,74dfd4e5-eb91-4443-bbc6-ac8f73d3ad99
2020-02-01 00:12:25 UTC,cart,5783987,1.48758E+18,,,4.75,608822992,d6e7f8a4-fa29-4dd7-8920-49394b58c764
2020-02-01 00:12:26 UTC,view,5839207,1.93717E+18,,lovely,7.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2020-02-01 00:12:30 UTC,view,5724670,1.48758E+18,,irisk,2.48,558432692,00ee796d-73dc-42be-989f-65db261b087a
2020-02-01 00:12:38 UTC,cart,5724670,1.48758E+18,,irisk,2.48,558432692,00ee796d-73dc-42be-989f-65db261b087a
2020-02-01 00:12:40 UTC,view,5924482,1.48758E+18,,,0,579927966,46140b11-fc78-4a3e-bce5-caec0a991bd3
2020-02-01 00:12:42 UTC,cart,5862936,1.48758E+18,,freedecor,0.79,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2020-02-01 00:12:44 UTC,cart,5842139,1.48758E+18,,,1.59,262107180,3752b11a-8960-49c6-b089-8a583dc874ef
2020-02-01 00:12:52 UTC,remove_from_cart,5849033,1.48758E+18,,uno,10.32,558432692,00ee796d-73dc-42be-989f-65db261b087a
2020-02-01 00:12:52 UTC,remove_from_cart,5849033,1.48758E+18,,uno,10.32,558432692,00ee796d-73dc-42be-989f-65db261b087a
2020-02-01 00:12:53 UTC,remove_from_cart,5751383,1.48758E+18,,uno,10.32,558432692,00ee796d-73dc-42be-989f-65db261b087a
2020-02-01 00:12:53 UTC,view,5814516,1.48758E+18,,,13.49,608823799,e2dbb130-aa8d-456c-849b-d328cca623d6
2020-02-01 00:12:57 UTC,view,5839197,1.93717E+18,,lovely,7.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2020-02-01 00:13:13 UTC,view,5649302,1.48758E+18,,concept,7.78,491436970,30c7a478-96b1-4c6b-8068-5032725ef729
2020-02-01 00:13:21 UTC,view,5794757,1.784E+18,,irisk,5.4,608822554,f19cc33d-5a0d-4a7c-9518-cece178f6b2f
2020-02-01 00:13:28 UTC,view,5904008,1.93717E+18,,lovely,5.54,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2020-02-01 00:13:31 UTC,cart,5851608,2.05516E+18,,irisk,1.75,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2020-02-01 00:13:44 UTC,view,5845583,1.93717E+18,,lovely,7.78,585409344,299e0df4-cce9-47db-a9be-46437fda3136
2020-02-01 00:13:46 UTC,cart,5864736,2.05516E+18,,bpw.style,1.59,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2020-02-01 00:13:48 UTC,view,5541652,1.784E+18,,runail,8.37,565945720,74dfd4e5-eb91-4443-bbc6-ac8f73d3ad99
2020-02-01 00:13:49 UTC,cart,5724573,1.48758E+18,,irisk,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2020-02-01 00:13:49 UTC,cart,5864737,2.05516E+18,,bpw.style,1.59,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2020-02-01 00:13:58 UTC,cart,5886754,1.48758E+18,,,1.59,262107180,3752b11a-8960-49c6-b089-8a583dc874ef
2020-02-01 00:13:59 UTC,cart,5886754,1.48758E+18,,,1.59,262107180,3752b11a-8960-49c6-b089-8a583dc874ef
2020-02-01 00:14:07 UTC,view,5706901,1.48758E+18,,,9.52,379669931,3bccb453-14db-4a1f-99ad-64c8d54f203c
2020-02-01 00:14:15 UTC,cart,5914942,2.05516E+18,,irisk,1.75,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
2020-02-01 00:14:20 UTC,cart,5811667,1.48758E+18,,irisk,2.48,558432692,0065215b-de9e-485d-82b7-969e62d691c8
2020-02-01 00:14:23 UTC,cart,5914943,2.05516E+18,,irisk,1.75,371700894,6e3128a2-b78e-4316-8cf9-8e819796c13f
