timestamp,name,TOC,activity,Priority_Code,case_id,DeviceType,Device,event_message
17:34.0,ML,TMS,TOCLR,4,Substation687,BLKCAR,Device349,Substation687BLKCARDevice349SIGNALRECEIVEDNORMALCHG-DET
18:08.0,ML,TMS,TOCBR,4,Substation611,BLKCAR,L734_PULSAR,Substation611BLKCARL734_PULSARSIGNALRECEIVEDBLOCKTRIPCHG-DET
18:10.0,ML,TMS,TOCBR,4,Substation611,BLKCAR,L734_PULSAR,Substation611BLKCARL734_PULSARSIGNALRECEIVEDNORMALCHG-DET
21:54.0,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058BLKCARR2362_PLANTSIGNALRECEIVEDBLOCKTRIPCHG-DET
22:04.0,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058BLKCARR2362_PLANTSIGNALRECEIVEDBLOCKTRIPCHG-DET
22:15.0,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058BLKCARR2362_PLANTSIGNALRECEIVEDNORMALCHG-DET
22:25.0,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058BLKCARR2362_PLANTSIGNALRECEIVEDBLOCKTRIPCHG-DET
22:38.0,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058BLKCARR2362_PLANTSIGNALRECEIVEDBLOCKTRIPCHG-DET
22:53.0,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058BLKCARR2362_PLANTSIGNALRECEIVEDNORMALCHG-DET
23:03.0,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058BLKCARR2362_PLANTSIGNALRECEIVEDBLOCKTRIPCHG-DET
23:24.0,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058BLKCARR2362_PLANTSIGNALRECEIVEDBLOCKTRIPCHG-DET
23:30.0,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714TONEL519TRIPRECEIVEDNORMALCHG-DET
23:43.0,ML,TMS,TOCNL,4,Substation1058,BLKCAR,R2362_PLANT,Substation1058BLKCARR2362_PLANTSIGNALRECEIVEDNORMALCHG-DET
24:39.0,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714TONEL519TRIPRECEIVEDNORMALCHG-DET
24:48.0,ML,TMS,TOCOG,4,Substation1037,BLKCAR,L514,Substation1037BLKCARL514SIGNALRECEIVEDTRIPENABLEDCHG-DET
24:50.0,ML,TMS,TOCOG,4,Substation1037,BLKCAR,L514,Substation1037BLKCARL514SIGNALRECEIVEDNORMALCHG-DET
26:05.0,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714TONEL519TRIPRECEIVEDNORMALCHG-DET
27:47.0,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714TONEL519TRIPRECEIVEDNORMALCHG-DET
30:29.0,ML,TMS,TOCPA,4,Substation879,LN,414,Substation879LN414AMPGUNBALANCED800.0CURRENTVALUE800.0AMPGHIGHLIMITVALUE10.9
30:47.0,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714TONEL519TRIPRECEIVEDNORMALCHG-DET
30:51.0,ML,TMS,TOCPA,4,Substation879,LN,414,Substation879LN414AMPGNORMAL2.9CURRENTVALUE2.9AMPGHIGHLIMITVALUE10.9
30:54.0,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714TONEL519TRIPRECEIVEDNORMALCHG-DET
32:17.0,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714TONEL519TRIPRECEIVEDNORMALCHG-DET
33:25.0,ML,TMS,TOCBR,4,Substation740,GCB,20580_HI_PRESS,Substation740GCB20580_HI_PRESSHEATERLOSSCHG-DET
33:35.0,ML,TMS,TOCPB,4,Substation1402,BLKCAR,Device793,Substation1402BLKCARDevice793SIGNALRECEIVEDNORMALCHG-DET
33:39.0,ML,TMS,TOCPB,4,Substation1402,BLKCAR,Device793,Substation1402BLKCARDevice793SIGNALRECEIVEDNORMALCHG-DET
36:50.0,ML,TMS,TOCBR,4,Substation740,GCB,20580_HI_PRESS,Substation740GCB20580_HI_PRESSHEATERNORMALCHG-DET
42:31.0,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714TONEL519TRIPRECEIVEDNORMALCHG-DET
43:11.0,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247BLKCARDevice424SIGNALRECEIVEDNORMALCHG-DET
43:21.0,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247BLKCARDevice424SIGNALRECEIVEDNORMALCHG-DET
43:21.0,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247BLKCARDevice424SIGNALRECEIVEDTRIPENABLEDCHG-DET
43:21.0,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247BLKCARDevice424SIGNALRECEIVEDNORMALCHG-DET
43:22.0,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247BLKCARDevice424SIGNALRECEIVEDNORMALCHG-DET
43:31.0,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247BLKCARDevice424SIGNALRECEIVEDTRIPENABLEDCHG-DET
43:33.0,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247BLKCARDevice424SIGNALRECEIVEDNORMALCHG-DET
43:35.0,ML,TMS,TOCNL,4,Substation247,BLKCAR,Device424,Substation247BLKCARDevice424SIGNALRECEIVEDNORMALCHG-DET
44:16.0,ML,TMS,TOCBR,4,Substation740,GCB,20585_HI_PRESS,Substation740GCB20585_HI_PRESSHEATERLOSSCHG-DET
45:06.0,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714TONEL519TRIPRECEIVEDNORMALCHG-DET
46:27.0,ML,TMS,TOCWN,4,Substation901,BLKCAR,L119_PLC85P1-1,Substation901BLKCARL119_PLC85P1-1SIGNALRECEIVEDNORMALCHG-DET
46:31.0,ML,TMS,TOCWN,4,Substation901,BLKCAR,L119_PLC85P1-1,Substation901BLKCARL119_PLC85P1-1SIGNALRECEIVEDBLOCKTRIPCHG-DET
46:35.0,ML,TMS,TOCWN,4,Substation901,BLKCAR,L119_PLC85P1-1,Substation901BLKCARL119_PLC85P1-1SIGNALRECEIVEDNORMALCHG-DET
48:46.0,ML,TMS,TOCBR,4,Substation740,GCB,20585_HI_PRESS,Substation740GCB20585_HI_PRESSHEATERNORMALCHG-DET
53:01.0,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714TONEL519TRIPRECEIVEDNORMALCHG-DET
53:21.0,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714TONEL519TRIPRECEIVEDALARMCHG-DET
53:23.0,ML,TMS,TOCPA,4,Substation714,TONE,L519,Substation714TONEL519TRIPRECEIVEDNORMALCHG-DET
54:40.0,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device20,Substation621BLKCARDevice20SIGNALRECEIVEDTRIPENABLEDCHG-DET
54:41.0,ML,TMS,TOCFC,4,Substation795,BLKCAR,Device775,Substation795BLKCARDevice775SIGNALRECEIVEDTRIPENABLEDCHG-DET
54:43.0,ML,TMS,TOCFC,4,Substation795,BLKCAR,Device775,Substation795BLKCARDevice775SIGNALRECEIVEDNORMALCHG-DET
54:44.0,ML,TMS,TOCFC,4,Substation621,BLKCAR,Device20,Substation621BLKCARDevice20SIGNALRECEIVEDNORMALCHG-DET
54:45.0,ML,TMS,TOCFC,4,Substation795,BLKCAR,Device775,Substation795BLKCARDevice775SIGNALRECEIVEDNORMALCHG-DET
55:10.0,ML,TMS,TOCPA,4,Substation879,LN,414,Substation879LN414AMPGUNBALANCED800.0CURRENTVALUE800.0AMPGHIGHLIMITVALUE10.9
55:41.0,ML,TMS,TOCPA,4,Substation879,LN,414,Substation879LN414AMPGNORMAL2.9CURRENTVALUE2.9AMPGHIGHLIMITVALUE10.9
58:43.0,ML,TMS,TOCPA,4,Substation879,LN,564,Substation879LN564AMPGUNBALANCED800.0CURRENTVALUE800.0AMPGHIGHLIMITVALUE40.2
59:03.0,ML,TMS,TOCPA,4,Substation879,LN,414,Substation879LN414AMPGUNBALANCED800.0CURRENTVALUE800.0AMPGHIGHLIMITVALUE10.9
59:14.0,ML,TMS,TOCPA,4,Substation879,LN,564,Substation879LN564AMPGNORMAL6.1CURRENTVALUE6.1AMPGHIGHLIMITVALUE40.2
59:30.0,ML,TMS,TOCPA,4,Substation879,LN,414,Substation879LN414AMPGNORMAL1.0CURRENTVALUE1.0AMPGHIGHLIMITVALUE10.9
